@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute inputs-8 numeric
@attribute inputs-9 numeric
@attribute inputs-10 numeric
@attribute inputs-11 numeric
@attribute inputs-12 numeric
@attribute inputs-13 numeric
@attribute inputs-14 numeric
@attribute inputs-15 numeric
@attribute outputs-1 {0,1,2}
@attribute outputs-2 numeric
@attribute outputs-3 {0,1,2,3,4,5}
@attribute outputs-4 numeric

@data
1,'2016/09/18 14:55:57:822',1,4.236458,0.935821,0.213748,0.293689,0.228294,0.158911,0.190014,0.19239,0.196385,0.165466,0.189787,0.224265,0.182878,0.184026,828.840942,1,?,?,?
2,'2016/09/18 14:55:57:898',1,8.554786,0.979828,0.180904,0.273716,0.204449,0.147378,0.16867,0.200691,0.19869,0.179265,0.203776,0.223928,0.179511,0.182194,818.73645,1,?,?,?
3,'2016/09/18 14:55:57:980',1,13.072215,1.005339,0.148242,0.254339,0.195168,0.143609,0.16085,0.212467,0.21624,0.213945,0.221134,0.228992,0.176886,0.177705,808.331848,1,?,?,?
4,'2016/09/18 14:55:58:049',1,16.913502,1.037934,0.111936,0.23219,0.179604,0.138319,0.143104,0.226164,0.228069,0.236938,0.232124,0.227567,0.173444,0.179683,796.966431,1,?,?,?
5,'2016/09/18 14:55:58:131',1,20.266951,1.076037,0.084411,0.200809,0.161313,0.136342,0.125186,0.241957,0.235661,0.250264,0.236815,0.231591,0.174091,0.178207,783.543335,1,?,?,?
6,'2016/09/18 14:55:58:374',1,29.804724,1.185754,0.001622,0.137996,0.108622,0.132992,0.071632,0.289303,0.264996,0.283682,0.24408,0.254858,0.173813,0.180772,621.554382,1,?,?,?
7,'2016/09/18 14:55:58:537',1,35.668465,1.276801,-0.05336,0.103448,0.09271,0.138317,0.023023,0.332313,0.291669,0.291583,0.258459,0.280362,0.167548,0.176424,531.66394,1,?,?,?
8,'2016/09/18 14:55:58:699',1,33.305851,1.310754,-0.046144,0.098372,0.096745,0.174753,0.005247,0.360664,0.298888,0.272053,0.228995,0.299471,0.159401,0.180906,468.275543,1,?,?,?
9,'2016/09/18 14:55:59:094',1,30.435865,1.400132,-0.068852,0.118354,0.100697,0.20947,-0.022414,0.38313,0.308279,0.215111,0.17748,0.318585,0.155635,0.19161,336.001923,1,?,?,?
10,'2016/09/18 14:55:59:175',1,30.199329,1.429549,-0.085738,0.121196,0.098048,0.221039,-0.034018,0.389803,0.308398,0.210171,0.162564,0.326658,0.152913,0.193876,336.106842,1,?,?,?
11,'2016/09/18 14:55:59:256',1,30.456514,1.454283,-0.104003,0.129381,0.094023,0.219447,-0.030505,0.385047,0.305497,0.219509,0.150356,0.328505,0.153919,0.20288,394.907837,1,?,?,?
12,'2016/09/18 14:55:59:338',1,30.559282,1.482532,-0.121681,0.134413,0.088545,0.226313,-0.027299,0.379974,0.306195,0.224589,0.141778,0.323717,0.157757,0.211536,395.702606,1,?,?,?
13,'2016/09/18 14:55:59:419',1,30.467758,1.503693,-0.135731,0.152988,0.0797,0.23223,-0.024462,0.3745,0.308132,0.226831,0.139528,0.312461,0.173153,0.205261,395.014648,1,?,?,?
14,'2016/09/18 14:55:59:570',1,30.1994,1.543142,-0.151791,0.169948,0.060025,0.245483,-0.035902,0.368856,0.304307,0.22957,0.131518,0.303861,0.194857,0.194684,453.713928,1,?,?,?
15,'2016/09/18 14:55:59:651',1,30.193268,1.561409,-0.166259,0.18117,0.057059,0.244081,-0.036853,0.363528,0.298837,0.236134,0.123781,0.30123,0.204026,0.184751,515.811707,1,?,?,?
16,'2016/09/18 14:55:59:895',1,30.284336,1.614956,-0.174192,0.186606,0.055192,0.264415,-0.067804,0.34498,0.331169,0.219316,0.124571,0.294378,0.228444,0.15893,632.345337,1,?,?,?
17,'2016/09/18 14:55:59:976',1,30.101807,1.627186,-0.17534,0.191337,0.054689,0.26342,-0.064028,0.335035,0.341171,0.216146,0.12667,0.288739,0.238519,0.152162,573.172119,1,?,?,?
18,'2016/09/18 14:56:00:058',1,29.940935,1.632554,-0.169936,0.188768,0.0504,0.273366,-0.075711,0.337611,0.343397,0.211145,0.127937,0.284461,0.24991,0.133084,573.147888,1,?,?,?
19,'2016/09/18 14:56:00:220',1,30.043221,1.646582,-0.177373,0.183913,0.060422,0.266612,-0.076571,0.324723,0.353642,0.212728,0.120449,0.291808,0.259102,0.113659,571.338989,1,?,?,?
20,'2016/09/18 14:56:00:290',1,30.003389,1.660341,-0.183176,0.181461,0.072037,0.260921,-0.072875,0.315706,0.363246,0.212987,0.116864,0.296793,0.258738,0.112827,629.774841,1,?,?,?
21,'2016/09/18 14:56:00:452',1,30.027063,1.673259,-0.187154,0.165618,0.080482,0.260249,-0.059463,0.30387,0.373859,0.211654,0.113797,0.30316,0.262929,0.115182,626.105286,1,?,?,?
22,'2016/09/18 14:56:00:534',1,30.069424,1.700339,-0.197269,0.170748,0.070795,0.263151,-0.061861,0.307102,0.367572,0.215783,0.103212,0.310475,0.262375,0.112834,626.312256,1,?,?,?
23,'2016/09/18 14:56:00:615',1,29.907192,1.713775,-0.199707,0.164671,0.071184,0.255676,-0.059702,0.305326,0.365515,0.21516,0.101464,0.316444,0.260107,0.113732,624.075806,1,?,?,?
24,'2016/09/18 14:56:00:697',1,29.641525,1.718573,-0.201106,0.158529,0.075112,0.252165,-0.054151,0.299966,0.368931,0.207773,0.10689,0.313116,0.265892,0.111934,624.171204,1,?,?,?
25,'2016/09/18 14:56:00:778',1,29.605562,1.727475,-0.202152,0.14959,0.080037,0.251196,-0.058154,0.29985,0.371307,0.207664,0.10782,0.31478,0.26931,0.107837,679.032776,1,?,?,?
26,'2016/09/18 14:56:00:940',1,29.3013,1.746214,-0.207556,0.137403,0.084823,0.252853,-0.063587,0.294992,0.377482,0.204511,0.1063,0.315983,0.272358,0.115077,675.144653,1,?,?,?
27,'2016/09/18 14:56:01:010',1,29.368364,1.738917,-0.207742,0.132486,0.08204,0.253652,-0.074106,0.298612,0.370124,0.200463,0.107087,0.315679,0.275916,0.114713,672.242615,1,?,?,?
28,'2016/09/18 14:56:01:091',1,28.917089,1.745202,-0.178507,0.118545,0.082923,0.238443,-0.070232,0.286758,0.368281,0.200343,0.115822,0.318475,0.271886,0.120618,672.24353,1,?,?,?
29,'2016/09/18 14:56:02:136',1,4.149541,0.985372,0.212774,0.33143,0.221073,0.211331,0.18074,0.232309,0.199014,0.148851,0.177661,0.236323,0.215918,0.218509,696.314026,1,?,?,?
30,'2016/09/18 14:56:02:217',1,7.157259,1.003783,0.213507,0.333292,0.215975,0.206181,0.160368,0.249884,0.219471,0.149231,0.171202,0.237004,0.219005,0.22862,639.318542,1,?,?,?
31,'2016/09/18 14:56:02:298',1,10.891487,1.023209,0.209951,0.33445,0.2108,0.196194,0.136739,0.260452,0.232195,0.15451,0.175067,0.248591,0.219517,0.235383,582.737732,1,?,?,?
32,'2016/09/18 14:56:02:380',1,14.815059,1.029493,0.194467,0.324113,0.201687,0.182556,0.110059,0.263751,0.235451,0.15863,0.18505,0.250567,0.223929,0.238953,570.836426,1,?,?,?
33,'2016/09/18 14:56:02:449',1,19.056787,1.040215,0.174587,0.317786,0.190822,0.172098,0.086914,0.262805,0.234067,0.15938,0.195714,0.255032,0.22601,0.242134,560.521729,1,?,?,?
34,'2016/09/18 14:56:02:530',1,23.222963,1.069415,0.159602,0.310509,0.180476,0.153669,0.062768,0.267747,0.23849,0.160537,0.202102,0.257865,0.227077,0.243784,551.651367,1,?,?,?
35,'2016/09/18 14:56:02:612',1,27.511587,1.097213,0.141915,0.304884,0.168891,0.143754,0.043174,0.270631,0.239525,0.151416,0.209,0.261348,0.225185,0.253987,542.91272,1,?,?,?
36,'2016/09/18 14:56:02:693',1,31.225168,1.127601,0.120916,0.297074,0.152606,0.130427,0.015915,0.268817,0.25195,0.151022,0.210051,0.274642,0.2247,0.255785,534.294312,1,?,?,?
37,'2016/09/18 14:56:02:775',1,35.033379,1.16579,0.101734,0.290115,0.137156,0.104362,-0.012277,0.266439,0.254849,0.147602,0.21003,0.278774,0.223734,0.260962,526.451721,1,?,?,?
38,'2016/09/18 14:56:02:856',1,38.194607,1.236015,0.085124,0.27597,0.133115,0.107583,-0.042813,0.283084,0.273599,0.139685,0.205658,0.288291,0.229556,0.262774,517.635132,1,?,?,?
39,'2016/09/18 14:56:02:937',1,38.712753,1.254525,0.076708,0.269421,0.139591,0.110057,-0.054483,0.277376,0.275946,0.145993,0.196526,0.291428,0.226845,0.264733,516.189453,1,?,?,?
40,'2016/09/18 14:56:03:018',1,38.799118,1.28967,0.062276,0.259739,0.1393,0.115696,-0.062285,0.267021,0.27142,0.14355,0.185468,0.30626,0.216977,0.266614,565.360901,1,?,?,?
41,'2016/09/18 14:56:03:100',1,38.43557,1.300896,0.057305,0.261646,0.137611,0.120632,-0.072239,0.267325,0.276092,0.136629,0.180214,0.302108,0.223231,0.26489,572.309021,1,?,?,?
